Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366,2200,132,360,1,Rural,N
LP001198,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
LP001199,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP001206,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2600,4887,133,360,1,Rural,N
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,360,1,Urban,Y
LP001233,Male,Yes,1,Graduate,No,3029,0,99,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,360,1,Urban,Y
LP001240,Male,No,0,Graduate,No,5176,0,150,360,1,Urban,Y
LP001241,Female,No,0,Graduate,No,4300,0,110,360,1,Urban,Y
LP001243,Male,Yes,0,Graduate,No,3200,2254,126,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001253,Male,Yes,1,Graduate,Yes,5285,1430,161,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,5708,0,138,360,1,Semiurban,Y
LP001256,Male,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,Y
LP001259,Male,Yes,1,Graduate,Yes,10000,0,214,360,1,Urban,Y
LP001263,Male,Yes,0,Graduate,No,4750,0,94,360,1,Semiurban,Y
LP001264,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Semiurban,Y
LP001265,Male,No,0,Graduate,No,1800,1857,83,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2333,1516,95,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,6000,0,205,240,1,Semiurban,Y
LP001275,Male,Yes,1,Graduate,No,3988,0,50,180,1,Urban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,2500,128,360,1,Semiurban,Y
LP001284,Male,Yes,1,Graduate,No,3200,2254,126,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,2014,1929,74,360,1,Urban,Y
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
LP001318,Male,Yes,1,Graduate,No,4950,0,125,360,1,Urban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273,0,78,360,1,Urban,Y
LP001322,Male,Yes,1,Graduate,No,4166,0,116,360,1,Semiurban,Y
LP001325,Male,Yes,0,Not Graduate,No,3625,0,108,360,1,Semiurban,Y
LP001326,Male,No,0,Graduate,No,6782,0,180,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,2995,0,60,360,1,Urban,Y
LP001338,Female,No,2,Graduate,No,5000,0,103,360,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1750,1250,80,360,1,Rural,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
LP001350,Male,Yes,0,Graduate,No,13650,0,311,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,2192,1742,45,360,1,Semiurban,Y
LP001357,Male,Yes,0,Graduate,No,3816,754,160,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,3066,0,95,360,1,Semiurban,Y
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,No,7333,0,120,360,1,Rural,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,0,85,360,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,5923,0,152,360,1,Semiurban,Y
LP001387,Female,Yes,0,Graduate,No,2929,2333,130,360,1,Semiurban,Y
